Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2UJ7e55bObCYCqpBkehnsr,"Outsider","Outsider","Veil Of Maya",2020-05-04,249468,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:09:51Z,"djent,deathcore,metalcore,progressive metal,metal","Sumerian Records",0.476,0.971,4,-3.797,0,0.0964,0.0000525,0.0000945,0.316,0.207,140.02,3
spotify:track:2A8WSQPNT9NqssXd3rEZYU,"Gungrave","ERRA","ERRA",2021-03-19,240525,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:10:09Z,"djent,metalcore,progressive metal,metal,deathcore,post-hardcore","UNFD",0.481,0.97,6,-2.684,0,0.0695,0.0000123,0.0102,0.206,0.345,100.013,4
spotify:track:0i1RF2ipRfrAVv5GDRYjHS,"Origin of Escape","The Amanuensis","Monuments",2014-07-08,242733,40,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:10:19Z,"djent,progressive metal,metalcore,metal","Century Media",0.46,0.955,10,-6.318,1,0.0533,0.0000125,0.00276,0.417,0.37,108.706,3
spotify:track:240qVeF1EQuCXmJh8zhX6w,"Tremors","Next In Line","Dead Letter Circus",2008-10-28,217560,36,false,21rrrptu6n3eywblqb6xp5xuy,2022-10-07T15:18:03Z,"progressive rock,progressive metal,djent","Independent",0.366,0.922,6,-8.622,1,0.0787,0.00032,0,0.0851,0.31,167.915,3
spotify:track:5ofoB8PFmocBXFBEWVb6Vz,"Animals","For Those That Wish To Exist","Architects",2021-02-26,244364,74,true,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:10:59Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01,4
spotify:track:2qbQLga60JnISUYwAG9aDx,"Dancers To A Discordant System","ObZen","Meshuggah",2008-03-07,576066,20,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T20:01:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Atomic Fire Records",0.256,0.996,0,-5.405,1,0.0908,0.0000241,0.904,0.181,0.141,93.486,3
spotify:track:79QqEKiBhTZ7ixcyaWm1fs,"Harrison Fjord","Viscera","Haunted Shores",2016,311985,27,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:11:11Z,"djent,progressive metal","Century Media",0.44,0.984,5,-6.091,1,0.112,0.00000284,0.93,0.156,0.0382,104.979,4
spotify:track:4To0Ft09SLNBo8x3r4aMP6,"Viscera","Viscera","Veil Of Maya",2021-02-26,220000,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:17:12Z,"djent,deathcore,metalcore,progressive metal,metal","Sumerian Records",0.537,0.96,2,-3.705,1,0.0594,0.000175,0.00000425,0.0892,0.382,137.986,4
spotify:track:5jpkH5t4OvHdzEG86GF6b0,"Animus","Animus","Monuments",2020-01-24,217463,31,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-13T10:23:58Z,"djent,progressive metal,metalcore,metal","Century Media",0.479,0.997,2,-2.449,1,0.15,0.0000376,0.0000342,0.31,0.0987,102.545,3
spotify:track:1dgp8z7Kkq7kpbQrljqrS4,"Electric Twilight","ERRA","ERRA",2021-03-19,265038,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:19:08Z,"djent,metalcore,progressive metal,metal,deathcore,post-hardcore","UNFD",0.512,0.993,11,-3.197,1,0.0885,0.0000804,0.00107,0.306,0.374,130.084,4
spotify:track:6YCpHa90d7HuBVnXmJxw9h,"Quantum Leap Zero Ii: Transition to Turbulence","Inertia","Scar Of The Sun",2021-05-14,226266,6,false,21rrrptu6n3eywblqb6xp5xuy,2022-12-16T16:31:05Z,"","Napalm Records Handels GmbH",0.472,0.934,11,-11.981,0,0.0803,0.000147,0.00371,0.311,0.0694,112.451,3
spotify:track:7dmvCOcy7cRgU3AUVOFoVz,"Archetype - Instrumental","Aeon (Instrumental)","Rogue",2020-11-13,200000,11,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-08T23:28:22Z,"djent,metalcore,progressive metal,deathcore","Rogue",0.464,0.95,11,-4.676,1,0.118,0.000176,0.829,0.213,0.199,110.076,4
spotify:track:4LB264fAdV4BPK99w4UMxl,"Demiurge","Koloss","Meshuggah",2012-02-09,372866,33,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T20:01:19Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Atomic Fire Records",0.207,0.945,1,-5.277,1,0.0787,0.0000326,0.79,0.0947,0.0399,113.254,3
spotify:track:1BqzzWlA868p8J5VIbp50A,"Better Days","The Way It Ends","Currents",2020-06-05,247747,65,true,21rrrptu6n3eywblqb6xp5xuy,2022-10-04T16:21:12Z,"metalcore,djent,deathcore,metal","SHARPTONE",0.372,0.978,4,-4.833,0,0.157,0.000624,0.0000222,0.134,0.214,76.359,4
spotify:track:1QMda5rnAhJmwnjv5pxE7n,"I The Creator","The Amanuensis","Monuments",2014-07-08,233986,42,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:19:42Z,"djent,progressive metal,metalcore,metal","Century Media",0.447,0.963,3,-7.431,1,0.0867,0.000091,0.000133,0.36,0.288,112.484,4
spotify:track:3JxX3QHrfeyBtKMy4cTN3L,"Dysphoria","The Discovery","Cloudkicker",2008-07-15,284839,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:19:55Z,"djent,post-rock,progressive metal,math rock","Cloudkicker",0.197,0.936,11,-5.348,1,0.083,0.00000206,0.808,0.125,0.245,149.751,4
spotify:track:4VC2LUKfqd8J0poU7kdLVH,"False Providence (feat. Mick Gordon)","In Stasis","Monuments,Mick Gordon",2022-04-15,301640,39,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T11:21:47Z,"djent,progressive metal,metalcore,metal","Century Media",0.321,0.986,5,-5.875,0,0.0688,0.0000795,0.00079,0.312,0.224,108.707,4
spotify:track:6I5zXzSDByTEmYZ7ePVQeB,"Circle With Me","Eternal Blue","Spiritbox",2021-09-17,233880,1,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T12:33:28Z,"metalcore,djent,metal","Rise Records",0.422,0.874,8,-4.606,0,0.0534,0.000166,0.231,0.143,0.392,102.743,4
spotify:track:5ArdXT9iSO7mpJycByd0R1,"Cloud Cascade","Greyview","Invent Animate",2020-03-13,249077,43,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T19:58:25Z,"djent,metalcore,progressive metal,deathcore,metal,post-hardcore","Tragic Hero Records",0.486,0.961,5,-4.234,0,0.0831,0.00022,0.0035,0.0904,0.219,116.024,4
spotify:track:4feZfAxwx72C4yImu9ngHS,"Immaterial","Void","Haunted Shores",2022-03-11,260105,17,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T19:59:50Z,"djent,progressive metal","3DOT Recordings",0.439,0.978,1,-6.46,1,0.0747,0.00000182,0.921,0.0854,0.0441,104.993,4
spotify:track:4PHppm7v48ys7YrVelKSYq,"ObZen","ObZen","Meshuggah",2008-03-07,264413,22,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T20:00:52Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Atomic Fire Records",0.233,0.999,5,-4.225,1,0.083,0.00000317,0.911,0.518,0.326,113.358,4
spotify:track:2YZZ8qsDdvC008LgtpMoI6,"Marigold","Periphery III: Select Difficulty","Periphery",2016-07-22,439840,0,true,21rrrptu6n3eywblqb6xp5xuy,2022-08-11T13:03:13Z,"djent,progressive metal,metalcore,metal","Century Media",0.211,0.949,0,-5.724,0,0.214,0.00222,0.000535,0.103,0.0642,105.578,4
spotify:track:5RnXQZ65F3uEHca395z6cz,"The Bad Thing","Juggernaut: Omega","Periphery",2015-01-23,353442,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-11T13:03:36Z,"djent,progressive metal,metalcore,metal","Century Media",0.311,0.953,2,-4.96,1,0.172,0.000216,0.00000219,0.111,0.417,132.856,4
spotify:track:75R95k0ICuZBFVEjBauOtt,"Doomsday","Holy Hell","Architects",2018-11-09,247019,66,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-11T13:05:01Z,"metalcore,djent,mathcore,metal,post-hardcore,deathcore","Epitaph",0.523,0.979,2,-4.214,1,0.159,0.0000262,0.0000256,0.153,0.179,125.038,4
spotify:track:2vNUATEUKbavRo2gMjHs2S,"Cyberhex","Scoring The End Of The World","Motionless In White,Lindsay Schoolcraft",2022-06-10,275247,61,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-11T15:01:23Z,"metalcore,metal,screamo,gothic metal,symphonic metal,deathcore","Roadrunner Records",0.526,0.944,6,-3.815,0,0.144,0.000207,0.0000176,0.0994,0.281,112.531,4
spotify:track:2uD8ezTUaLTtoqaXUiWPIR,"Lune","Periphery III: Select Difficulty","Periphery",2016-07-22,467013,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-11T17:20:35Z,"djent,progressive metal,metalcore,metal","Century Media",0.488,0.851,5,-6.146,1,0.0447,0.00208,0.000501,0.0943,0.337,134.99,1
